,TypeBuyIn,TournamentNumber,StartDateUtc,Hand,Level,Street_id,Pot,Card1,Card2,Card3,Card4,Card5,Dealer,Seat,Round,ActionOrder,PlayerId,PlayerName,Stack,SPR,Action,Bet,Allin,Showdown_1,Showdown_2,PlayerWins,WinAmount,Position
0,MTT 250,1719277454,2024-05-21T11:03:45Z,2086434989,6000.0,0,0.0,,,,,,0,1,0,1,0,nobadbeatpls,120295.0,0.0,Post Ante,750.0,0,,,,,MP2
1,MTT 250,1719277454,2024-05-21T11:03:45Z,2086434989,6000.0,0,750.0,,,,,,0,2,0,2,1,powerblast,390699.0,520.93,Post Ante,750.0,0,,,,,MP3
2,MTT 250,1719277454,2024-05-21T11:03:45Z,2086434989,6000.0,0,1500.0,,,,,,0,3,0,3,2,wanq,165000.0,110.0,Post Ante,750.0,0,,,,,CO
3,MTT 250,1719277454,2024-05-21T11:03:45Z,2086434989,6000.0,0,2250.0,,,,,,1,4,0,4,3,kuuskuus,371157.0,164.96,Post Ante,750.0,0,,,,,BTN
4,MTT 250,1719277454,2024-05-21T11:03:45Z,2086434989,6000.0,0,3000.0,,,,,,0,5,0,5,4,norimyxxxo95,188475.0,62.83,Post Ante,750.0,0,,,,,SB
5,MTT 250,1719277454,2024-05-21T11:03:45Z,2086434989,6000.0,0,3750.0,,,,,,0,6,0,6,5,statnik,316131.0,84.3,Post Ante,750.0,0,,,,,BB
6,MTT 250,1719277454,2024-05-21T11:03:45Z,2086434989,6000.0,0,4500.0,,,,,,0,7,0,7,6,55_jimbo,77196.0,17.15,Post Ante,750.0,0,,,,,EP3
7,MTT 250,1719277454,2024-05-21T11:03:45Z,2086434989,6000.0,0,5250.0,,,,,,0,8,0,8,7,honeyhorny,1069486.0,203.71,Post Ante,750.0,0,,,,,MP1
8,MTT 250,1719277454,2024-05-21T11:03:45Z,2086434989,6000.0,0,6000.0,,,,,,0,5,0,9,4,norimyxxxo95,187725.0,31.29,Post SB,3000.0,0,,,,,SB
9,MTT 250,1719277454,2024-05-21T11:03:45Z,2086434989,6000.0,0,9000.0,,,,,,0,6,0,10,5,statnik,315381.0,35.04,Post BB,6000.0,0,,,,,BB
10,MTT 250,1719277454,2024-05-21T11:03:45Z,2086434989,6000.0,0,15000.0,,,,,,0,7,1,1,6,55_jimbo,76446.0,5.1,Fold,0.0,0,,,,,EP3
11,MTT 250,1719277454,2024-05-21T11:03:45Z,2086434989,6000.0,0,15000.0,,,,,,0,8,1,2,7,honeyhorny,1068736.0,71.25,Fold,0.0,0,,,,,MP1
12,MTT 250,1719277454,2024-05-21T11:03:45Z,2086434989,6000.0,0,15000.0,,,,,,0,1,1,3,0,nobadbeatpls,119545.0,7.97,Fold,0.0,0,,,,,MP2
13,MTT 250,1719277454,2024-05-21T11:03:45Z,2086434989,6000.0,0,15000.0,,,,,,0,2,1,4,1,powerblast,389949.0,26.0,Fold,0.0,0,,,,,MP3
14,MTT 250,1719277454,2024-05-21T11:03:45Z,2086434989,6000.0,0,15000.0,,,,,,0,3,1,5,2,wanq,164250.0,10.95,Fold,0.0,0,,,,,CO
15,MTT 250,1719277454,2024-05-21T11:03:45Z,2086434989,6000.0,0,15000.0,,,,,,1,4,1,6,3,kuuskuus,370407.0,24.69,Fold,0.0,0,,,,,BTN
16,MTT 250,1719277454,2024-05-21T11:03:45Z,2086434989,6000.0,0,15000.0,,,,,,0,5,1,7,4,norimyxxxo95,184725.0,12.31,Call,3000.0,0,,,,,SB
17,MTT 250,1719277454,2024-05-21T11:03:45Z,2086434989,6000.0,0,18000.0,,,,,,0,6,1,8,5,statnik,309381.0,17.19,Raise,9000.0,0,,,,,BB
18,MTT 250,1719277454,2024-05-21T11:03:45Z,2086434989,6000.0,0,27000.0,,,,,,0,5,2,1,4,norimyxxxo95,181725.0,6.73,Raise,39000.0,0,,,,,SB
19,MTT 250,1719277454,2024-05-21T11:03:45Z,2086434989,6000.0,0,66000.0,,,,,,0,6,2,2,5,statnik,300381.0,4.55,Call,30000.0,0,,,,,BB
20,MTT 250,1719277454,2024-05-21T11:03:45Z,2086434989,6000.0,1,96000.0,2d,Jh,Kc,,,0,5,3,1,4,norimyxxxo95,142725.0,1.49,Check,0.0,0,,,,,SB
21,MTT 250,1719277454,2024-05-21T11:03:45Z,2086434989,6000.0,1,96000.0,2d,Jh,Kc,,,0,6,3,2,5,statnik,270381.0,2.82,Bet,64000.0,0,,,,,BB
22,MTT 250,1719277454,2024-05-21T11:03:45Z,2086434989,6000.0,1,160000.0,2d,Jh,Kc,,,0,5,4,1,4,norimyxxxo95,142725.0,0.89,Fold,0.0,0,,,,,SB
23,MTT 250,1719277454,2024-05-21T11:03:45Z,2086434989,6000.0,2,160000.0,2d,Jh,Kc,,,0,6,5,1,5,statnik,206381.0,,Mucks Cards,0.0,0,,,1.0,96000.0,BB
24,MTT 250,1719277454,2024-05-21T11:05:11Z,2086435989,6000.0,0,0.0,,,,,,0,1,0,1,0,nobadbeatpls,119545.0,0.0,Post Ante,750.0,0,,,,,MP1
25,MTT 250,1719277454,2024-05-21T11:05:11Z,2086435989,6000.0,0,750.0,,,,,,0,2,0,2,1,powerblast,389949.0,519.93,Post Ante,750.0,0,,,,,MP2
26,MTT 250,1719277454,2024-05-21T11:05:11Z,2086435989,6000.0,0,1500.0,,,,,,0,3,0,3,2,wanq,164250.0,109.5,Post Ante,750.0,0,,,,,MP3
27,MTT 250,1719277454,2024-05-21T11:05:11Z,2086435989,6000.0,0,2250.0,,,,,,0,4,0,4,3,kuuskuus,370407.0,164.63,Post Ante,750.0,0,,,,,CO
28,MTT 250,1719277454,2024-05-21T11:05:11Z,2086435989,6000.0,0,3000.0,,,,,,1,5,0,5,4,norimyxxxo95,142725.0,47.58,Post Ante,750.0,0,,,,,BTN
29,MTT 250,1719277454,2024-05-21T11:05:11Z,2086435989,6000.0,0,3750.0,,,,,,0,6,0,6,5,statnik,366381.0,97.7,Post Ante,750.0,0,,,,,SB
30,MTT 250,1719277454,2024-05-21T11:05:11Z,2086435989,6000.0,0,4500.0,,,,,,0,7,0,7,6,55_jimbo,76446.0,16.99,Post Ante,750.0,0,,,,,BB
31,MTT 250,1719277454,2024-05-21T11:05:11Z,2086435989,6000.0,0,5250.0,,,,,,0,8,0,8,7,honeyhorny,1068736.0,203.57,Post Ante,750.0,0,,,,,EP3
32,MTT 250,1719277454,2024-05-21T11:05:11Z,2086435989,6000.0,0,6000.0,,,,,,0,6,0,9,5,statnik,365631.0,60.94,Post SB,3000.0,0,,,,,SB
