,Tournament,Hand,Level,Street_id,Round,Pot,Card1,Card2,Card3,Card4,Card5,Seat_P0,Dealer_P0,Position_P0,Player_P0,PlayerName_P0,Stack_P0,SPR_P0,ActionOrder_P0,Action_P0,Bet_P0,Allin_P0,Showdown_1_P0,Showdown_2_P0,PlayerWins_P0,WinAmount_P0,Seat_P1,Dealer_P1,Position_P1,Player_P1,PlayerName_P1,Stack_P1,SPR_P1,ActionOrder_P1,Action_P1,Bet_P1,Allin_P1,Showdown_1_P1,Showdown_2_P1,PlayerWins_P1,WinAmount_P1,Seat_P2,Dealer_P2,Position_P2,Player_P2,PlayerName_P2,Stack_P2,SPR_P2,ActionOrder_P2,Action_P2,Bet_P2,Allin_P2,Showdown_1_P2,Showdown_2_P2,PlayerWins_P2,WinAmount_P2,Seat_P3,Dealer_P3,Position_P3,Player_P3,PlayerName_P3,Stack_P3,SPR_P3,ActionOrder_P3,Action_P3,Bet_P3,Allin_P3,Showdown_1_P3,Showdown_2_P3,PlayerWins_P3,WinAmount_P3,Seat_P4,Dealer_P4,Position_P4,Player_P4,PlayerName_P4,Stack_P4,SPR_P4,ActionOrder_P4,Action_P4,Bet_P4,Allin_P4,Showdown_1_P4,Showdown_2_P4,PlayerWins_P4,WinAmount_P4,Seat_P5,Dealer_P5,Position_P5,Player_P5,PlayerName_P5,Stack_P5,SPR_P5,ActionOrder_P5,Action_P5,Bet_P5,Allin_P5,Showdown_1_P5,Showdown_2_P5,PlayerWins_P5,WinAmount_P5,Seat_P6,Dealer_P6,Position_P6,Player_P6,PlayerName_P6,Stack_P6,SPR_P6,ActionOrder_P6,Action_P6,Bet_P6,Allin_P6,Showdown_1_P6,Showdown_2_P6,PlayerWins_P6,WinAmount_P6,Seat_P7,Dealer_P7,Position_P7,Player_P7,PlayerName_P7,Stack_P7,SPR_P7,ActionOrder_P7,Action_P7,Bet_P7,Allin_P7,Showdown_1_P7,Showdown_2_P7,PlayerWins_P7,WinAmount_P7
792,MTT 250,2018426529,5000.0,1,3,45000.0,4c,Ac,9s,,,1.0,0.0,EP3,0.0,jeka_sebastian,82973.0,,0.0,,,,,,,,2.0,0.0,MP1,1.0,gagoosh,177738.0,,0.0,,,,,,,,3.0,0.0,MP2,2.0,andreevsas,481652.0,10.7,2.0,Call,22500.0,0.0,,,,,4.0,0.0,MP3,3.0,ray34ray,407800.0,,0.0,,,,,,,,5.0,0.0,CO,4.0,d_vendetta_b,705309.0,,0.0,,,,,,,,6.0,1.0,BTN,5.0,qq_nice_bb,118750.0,,0.0,,,,,,,,7.0,0.0,SB,6.0,pank77,269025.0,,0.0,,,,,,,,8.0,0.0,BB,7.0,matiss42,135125.0,3.0,1.0,Fold,0.0,0.0,,,,
793,MTT 250,2018426529,5000.0,2,4,67500.0,4c,Ac,9s,Kc,,1.0,0.0,EP3,0.0,jeka_sebastian,82973.0,,0.0,,,,,,,,2.0,0.0,MP1,1.0,gagoosh,177738.0,,0.0,,,,,,,,3.0,0.0,MP2,2.0,andreevsas,459152.0,6.8,1.0,Check,0.0,0.0,,,,,4.0,0.0,MP3,3.0,ray34ray,407800.0,,0.0,,,,,,,,5.0,0.0,CO,4.0,d_vendetta_b,705309.0,,0.0,,,,,,,,6.0,1.0,BTN,5.0,qq_nice_bb,118750.0,1.76,2.0,Bet,118750.0,1.0,,,,,7.0,0.0,SB,6.0,pank77,269025.0,,0.0,,,,,,,,8.0,0.0,BB,7.0,matiss42,135125.0,,0.0,,,,,,,
794,MTT 250,2018426529,5000.0,2,5,186250.0,4c,Ac,9s,Kc,,1.0,0.0,EP3,0.0,jeka_sebastian,82973.0,,0.0,,,,,,,,2.0,0.0,MP1,1.0,gagoosh,177738.0,,0.0,,,,,,,,3.0,0.0,MP2,2.0,andreevsas,459152.0,2.47,1.0,Fold,0.0,0.0,,,,,4.0,0.0,MP3,3.0,ray34ray,407800.0,,0.0,,,,,,,,5.0,0.0,CO,4.0,d_vendetta_b,705309.0,,0.0,,,,,,,,6.0,1.0,BTN,5.0,qq_nice_bb,0.0,,0.0,,,,,,,,7.0,0.0,SB,6.0,pank77,269025.0,,0.0,,,,,,,,8.0,0.0,BB,7.0,matiss42,135125.0,,0.0,,,,,,,
795,MTT 250,2018426529,5000.0,3,6,186250.0,4c,Ac,9s,Kc,,1.0,0.0,EP3,0.0,jeka_sebastian,82973.0,,0.0,,,,,,,,2.0,0.0,MP1,1.0,gagoosh,177738.0,,0.0,,,,,,,,3.0,0.0,MP2,2.0,andreevsas,459152.0,,0.0,,,,,,,,4.0,0.0,MP3,3.0,ray34ray,407800.0,,0.0,,,,,,,,5.0,0.0,CO,4.0,d_vendetta_b,705309.0,,0.0,,,,,,,,6.0,1.0,BTN,5.0,qq_nice_bb,0.0,,,Mucks Cards,,,,,1.0,67500.0,7.0,0.0,SB,6.0,pank77,269025.0,,0.0,,,,,,,,8.0,0.0,BB,7.0,matiss42,135125.0,,0.0,,,,,,,
796,MTT 250,2018426782,5000.0,0,0,0.0,,,,,,1.0,0.0,BB,0.0,xam01,195509.0,0.0,1.0,Post BB,5625.0,0.0,,,,,2.0,0.0,EP3,1.0,evilkrol,144503.0,0.0,1.0,Post Ante,625.0,0.0,,,,,3.0,0.0,MP1,2.0,cooper322,697023.06,0.0,1.0,Post Ante,625.0,0.0,,,,,4.0,0.0,MP2,3.0,habay,514968.0,0.0,1.0,Post Ante,625.0,0.0,,,,,5.0,0.0,MP3,4.0,maxelista,656046.0,0.0,1.0,Post Ante,625.0,0.0,,,,,6.0,0.0,CO,5.0,cumarik777,230700.0,0.0,1.0,Post Ante,625.0,0.0,,,,,7.0,1.0,BTN,6.0,tatartatar1,539113.0,0.0,1.0,Post Ante,625.0,0.0,,,,,8.0,0.0,SB,7.0,staspro58,255673.0,0.0,1.0,Post SB,3125.0,0.0,,,,
797,MTT 250,2018426782,5000.0,0,1,12500.0,,,,,,1.0,0.0,BB,0.0,xam01,189884.0,15.19,8.0,Call,5000.0,0.0,,,,,2.0,0.0,EP3,1.0,evilkrol,143878.0,11.51,1.0,Raise,10000.0,0.0,,,,,3.0,0.0,MP1,2.0,cooper322,696398.06,55.71,2.0,Fold,0.0,0.0,,,,,4.0,0.0,MP2,3.0,habay,514343.0,41.15,3.0,Fold,0.0,0.0,,,,,5.0,0.0,MP3,4.0,maxelista,655421.0,52.43,4.0,Call,10000.0,0.0,,,,,6.0,0.0,CO,5.0,cumarik777,230075.0,18.41,5.0,Fold,0.0,0.0,,,,,7.0,1.0,BTN,6.0,tatartatar1,538488.0,43.08,6.0,Call,10000.0,0.0,,,,,8.0,0.0,SB,7.0,staspro58,252548.0,20.2,7.0,Fold,0.0,0.0,,,,
798,MTT 250,2018426782,5000.0,1,2,47500.0,9c,6d,8c,,,1.0,0.0,BB,0.0,xam01,184884.0,3.89,1.0,Bet,26250.0,0.0,,,,,2.0,0.0,EP3,1.0,evilkrol,133878.0,2.82,2.0,Call,26250.0,0.0,,,,,3.0,0.0,MP1,2.0,cooper322,696398.06,,0.0,,,,,,,,4.0,0.0,MP2,3.0,habay,514343.0,,0.0,,,,,,,,5.0,0.0,MP3,4.0,maxelista,645421.0,13.59,3.0,Fold,0.0,0.0,,,,,6.0,0.0,CO,5.0,cumarik777,230075.0,,0.0,,,,,,,,7.0,1.0,BTN,6.0,tatartatar1,528488.0,11.13,4.0,Fold,0.0,0.0,,,,,8.0,0.0,SB,7.0,staspro58,252548.0,,0.0,,,,,,,
799,MTT 250,2018426782,5000.0,2,3,100000.0,9c,6d,8c,2c,,1.0,0.0,BB,0.0,xam01,158634.0,1.59,1.0,Bet,158634.0,1.0,,,,,2.0,0.0,EP3,1.0,evilkrol,107628.0,1.08,2.0,Fold,0.0,0.0,,,,,3.0,0.0,MP1,2.0,cooper322,696398.06,,0.0,,,,,,,,4.0,0.0,MP2,3.0,habay,514343.0,,0.0,,,,,,,,5.0,0.0,MP3,4.0,maxelista,645421.0,,0.0,,,,,,,,6.0,0.0,CO,5.0,cumarik777,230075.0,,0.0,,,,,,,,7.0,1.0,BTN,6.0,tatartatar1,528488.0,,0.0,,,,,,,,8.0,0.0,SB,7.0,staspro58,252548.0,,0.0,,,,,,,
800,MTT 250,2018426782,5000.0,3,4,258634.0,9c,6d,8c,2c,,1.0,0.0,BB,0.0,xam01,0.0,,,Mucks Cards,,,,,1.0,100000.0,2.0,0.0,EP3,1.0,evilkrol,107628.0,,0.0,,,,,,,,3.0,0.0,MP1,2.0,cooper322,696398.06,,0.0,,,,,,,,4.0,0.0,MP2,3.0,habay,514343.0,,0.0,,,,,,,,5.0,0.0,MP3,4.0,maxelista,645421.0,,0.0,,,,,,,,6.0,0.0,CO,5.0,cumarik777,230075.0,,0.0,,,,,,,,7.0,1.0,BTN,6.0,tatartatar1,528488.0,,0.0,,,,,,,,8.0,0.0,SB,7.0,staspro58,252548.0,,0.0,,,,,,,
801,MTT 250,2018427541,5000.0,0,0,0.0,,,,,,1.0,0.0,SB,0.0,xam01,258634.0,0.0,1.0,Post SB,3125.0,0.0,,,,,2.0,0.0,BB,1.0,evilkrol,107628.0,0.0,1.0,Post BB,5625.0,0.0,,,,,3.0,0.0,EP3,2.0,cooper322,696398.0,0.0,1.0,Post Ante,625.0,0.0,,,,,4.0,0.0,MP1,3.0,habay,514343.0,0.0,1.0,Post Ante,625.0,0.0,,,,,5.0,0.0,MP2,4.0,maxelista,645421.0,0.0,1.0,Post Ante,625.0,0.0,,,,,6.0,0.0,MP3,5.0,cumarik777,230075.0,0.0,1.0,Post Ante,625.0,0.0,,,,,7.0,0.0,CO,6.0,tatartatar1,528488.0,0.0,1.0,Post Ante,625.0,0.0,,,,,8.0,1.0,BTN,7.0,staspro58,252548.0,0.0,1.0,Post Ante,625.0,0.0,,,,
