Unnamed: 0,TypeBuyIn,TournamentNumber,StartDateUtc,Hand,Level,Street_id,Pot,Card1,Card2,Card3,Card4,Card5,Dealer,Seat,Round,ActionOrder,PlayerId,PlayerName,Stack,SPR,Action,Bet,Allin,Showdown_1,Showdown_2,PlayerWins,WinAmount,Position,UniquePlayerId,ActionHistory,ActionCount,PositionNum,RaiserPosNum,RelativePosition,PotOdds,PreviousBetSize,StackCategory,BoardTexture,BoardDangerLevel,BetFrequency,RaiseFrequency,CallFrequency,FoldFrequency,VPIP,PFR,AggressionFactor_Street0,AggressionFactor_Street1,AggressionFactor_Street2,AggressionFactor_Street3,BetSize_mean,BetSize_std,BetSize_min,BetSize_max,ContinuationTendency,BetAdaptation,WinRate,Action_encoded
84,MTT 250,2597193399,2023-03-15T08:12:46Z,1616901408,300.0,0,770.0,Unknown,Unknown,Unknown,Unknown,Unknown,0,2,1,3,1,Player2_AwPh200,171490.0,222.7142857142857,Raise,600.0,0,Unknown,Unknown,,,EP3,18,CallFoldBet,4,-1,-1.0,NoRaiser,0.437956204379562,1060.0,Deep,Neutral,Medium,25.0,25.0,25.0,25.0,27.03,8.11,0.3006993006993007,0.0917347865576748,1.4975124378109452,201.0,14827.78,21496.99,600.0,70000.0,0.0157158573000157,0.4714039970088127,0.0,4.0
120,MTT 250,2597193399,2023-03-15T08:13:20Z,1616901680,300.0,1,2420.0,7h,Jc,Ts,Unknown,Unknown,0,7,2,0,6,Player7_AwPh200,61671.0,25.48388429752066,Check,0.0,0,Unknown,Unknown,,,CO,21,Unknown,4,5,-1.0,NoRaiser,0.0,0.0,Deep,Rainbow,Low,5.26,5.26,26.32,26.32,45.45,15.91,0.4670219853431046,0.250936329588015,0.1440798858773181,0.1680532445923461,44985.18,60564.23,2000.0,190641.0,0.0,0.8000728068481565,15.79,1.0
119,MTT 250,2597193399,2023-03-15T08:13:20Z,1616901680,300.0,1,2420.0,7h,Jc,Ts,Unknown,Unknown,0,1,2,1,0,Player1_AwPh200,81277.0,33.58553719008265,Check,0.0,0,Unknown,Unknown,,,SB,22,Check,4,7,-1.0,NoRaiser,0.0,0.0,Deep,Rainbow,Low,8.33,14.29,33.33,16.67,41.67,8.33,0.2005329780146569,0.223085460599334,0.6677740863787375,0.0099009900990099,24983.57,32738.31,800.0,85750.0,0.0295551943254026,0.4714039970088127,8.33,1.0
111,MTT 250,2597193399,2023-03-15T08:13:20Z,1616901680,300.0,0,770.0,Unknown,Unknown,Unknown,Unknown,Unknown,0,3,1,2,2,Player3_AwPh200,49500.0,64.28571428571429,Fold,0.0,0,Unknown,Unknown,,,EP3,17,CheckCheck,4,-1,-1.0,NoRaiser,0.0,0.0,Deep,Neutral,Medium,14.29,11.11,25.0,77.78,37.74,13.21,0.3892282065519155,0.2148465381870092,0.2007992007992007,0.0049751243781094,66791.25,65600.85,5900.0,202443.0,0.0202061022428773,0.7532904974856429,0.0,0.0
123,MTT 250,2597193399,2023-03-15T08:13:20Z,1616901680,300.0,1,3630.0,7h,Jc,Ts,Unknown,Unknown,0,7,3,3,6,Player7_AwPh200,61671.0,16.989256198347107,Fold,0.0,0,Unknown,Unknown,,,CO,21,CheckCheckFold,4,5,-1.0,NoRaiser,0.0,0.0,Deep,Rainbow,Low,5.26,5.26,26.32,26.32,45.45,15.91,0.4670219853431046,0.250936329588015,0.1440798858773181,0.1680532445923461,44985.18,60564.23,2000.0,190641.0,0.0,0.8000728068481565,15.79,0.0
144,MTT 250,2597193399,2023-03-15T08:14:11Z,1616902116,300.0,1,1520.0,9c,4h,4s,Unknown,Unknown,0,3,2,0,2,Player3_AwPh200,49160.0,32.3421052631579,Check,0.0,0,Unknown,Unknown,,,BB,17,Unknown,3,8,-1.0,NoRaiser,0.0,0.0,Deep,Rainbow,Low,14.29,14.29,29.41,5.88,37.74,13.21,0.3892282065519155,0.2148465381870092,0.2007992007992007,0.0049751243781094,66791.25,65600.85,5900.0,202443.0,0.0202061022428773,0.7532904974856429,0.0,1.0
153,MTT 250,2597193399,2023-03-15T08:14:11Z,1616902116,300.0,3,30400.0,9c,4h,4s,Td,5c,0,5,5,1,4,Player5_AwPh200,85382.0,2.8086184210526315,Call,15200.0,0,Unknown,Unknown,,,MP1,16,Check,3,2,-1.0,NoRaiser,0.3333333333333333,0.0,Deep,Neutral,Medium,6.67,20.0,6.67,46.67,33.33,18.75,1.2853067047075606,0.5008319467554077,1.0,1.0,47341.44,53282.45,1600.0,181500.0,0.0521104742053152,0.4714039970088127,6.67,2.0
166,MTT 250,2597193399,2023-03-15T08:15:06Z,1616902566,300.0,0,770.0,Unknown,Unknown,Unknown,Unknown,Unknown,0,5,1,0,4,Player5_AwPh200,70142.0,91.0935064935065,Fold,0.0,0,Unknown,Unknown,,,EP3,16,Unknown,3,-1,-1.0,NoRaiser,0.0,0.0,Deep,Neutral,Medium,14.29,20.0,25.0,40.0,33.33,18.75,1.2853067047075606,0.5008319467554077,1.0,1.0,47341.44,53282.45,1600.0,181500.0,0.0521104742053152,0.4714039970088127,0.0,0.0
179,MTT 250,2597193399,2023-03-15T08:15:06Z,1616902566,300.0,1,7964.0,Ks,6s,Qh,Unknown,Unknown,0,6,4,1,5,Player6_AwPh200,45964.0,5.771471622300352,Fold,0.0,0,Unknown,Unknown,,,MP1,20,Fold,3,2,-1.0,NoRaiser,0.0,0.0,Deep,Neutral,Medium,14.29,14.29,12.5,87.5,25.49,3.92,0.1544965411222136,0.4293865905848787,0.1680532445923461,2.98019801980198,111111.56,239993.24,6000.0,740614.0,0.0235737859500235,0.4714039970088127,0.0,0.0
169,MTT 250,2597193399,2023-03-15T08:15:06Z,1616902566,300.0,0,2023.0,Unknown,Unknown,Unknown,Unknown,Unknown,0,8,1,2,7,Player8_AwPh200,27516.0,13.601581809194268,Call,953.0,0,Unknown,Unknown,,,MP3,23,FoldFold,3,4,-1.0,NoRaiser,0.3202284946236559,0.0,Deep,Neutral,Medium,14.29,14.29,42.86,35.71,42.86,6.35,0.1603358656537384,1.1426533523537803,1.995024875621891,0.2015968063872255,14397.0,15534.92,1060.0,54000.0,0.066006600660066,0.410029904154154,0.0,2.0
